시도별,산업별,산업코드,연도,지표,단위,값,비고
제주특별자치도,광업,05~08,2021,유형자산 연말잔액,백만원,22972.0,
제주특별자치도,제조업,10~34,2021,유형자산 연말잔액,백만원,1152962.0,
전국,광업 및 제조업,,2022,사업체수,개,73592.0,
전국,광업,05~08,2022,사업체수,개,332.0,
전국,제조업,10~34,2022,사업체수,개,73260.0,
서울특별시,광업 및 제조업,,2022,사업체수,개,4000.0,
서울특별시,광업,05~08,2022,사업체수,개,0.0,-
서울특별시,제조업,10~34,2022,사업체수,개,4000.0,
부산광역시,광업 및 제조업,,2022,사업체수,개,4237.0,
부산광역시,광업,05~08,2022,사업체수,개,1.0,
부산광역시,제조업,10~34,2022,사업체수,개,4236.0,
대구광역시,광업 및 제조업,,2022,사업체수,개,3208.0,
대구광역시,광업,05~08,2022,사업체수,개,1.0,
대구광역시,제조업,10~34,2022,사업체수,개,3207.0,
인천광역시,광업 및 제조업,,2022,사업체수,개,4819.0,
인천광역시,광업,05~08,2022,사업체수,개,16.0,
인천광역시,제조업,10~34,2022,사업체수,개,4803.0,
광주광역시,광업 및 제조업,,2022,사업체수,개,1316.0,
광주광역시,광업,05~08,2022,사업체수,개,0.0,-
광주광역시,제조업,10~34,2022,사업체수,개,1316.0,
대전광역시,광업 및 제조업,,2022,사업체수,개,1014.0,
대전광역시,광업,05~08,2022,사업체수,개,1.0,
대전광역시,제조업,10~34,2022,사업체수,개,1013.0,
울산광역시,광업 및 제조업,,2022,사업체수,개,1832.0,
울산광역시,광업,05~08,2022,사업체수,개,9.0,
울산광역시,제조업,10~34,2022,사업체수,개,1823.0,
세종특별자치시,광업 및 제조업,,2022,사업체수,개,345.0,
세종특별자치시,광업,05~08,2022,사업체수,개,5.0,
세종특별자치시,제조업,10~34,2022,사업체수,개,340.0,
경기도,광업 및 제조업,,2022,사업체수,개,26127.0,
경기도,광업,05~08,2022,사업체수,개,43.0,
경기도,제조업,10~34,2022,사업체수,개,26084.0,
강원특별자치도,광업 및 제조업,,2022,사업체수,개,1167.0,
강원특별자치도,광업,05~08,2022,사업체수,개,71.0,
강원특별자치도,제조업,10~34,2022,사업체수,개,1096.0,
충청북도,광업 및 제조업,,2022,사업체수,개,3649.0,
충청북도,광업,05~08,2022,사업체수,개,37.0,
충청북도,제조업,10~34,2022,사업체수,개,3612.0,
충청남도,광업 및 제조업,,2022,사업체수,개,4761.0,
충청남도,광업,05~08,2022,사업체수,개,27.0,
충청남도,제조업,10~34,2022,사업체수,개,4734.0,
전라북도,광업 및 제조업,,2022,사업체수,개,1932.0,
전라북도,광업,05~08,2022,사업체수,개,29.0,
전라북도,제조업,10~34,2022,사업체수,개,1903.0,
전라남도,광업 및 제조업,,2022,사업체수,개,2098.0,
전라남도,광업,05~08,2022,사업체수,개,29.0,
전라남도,제조업,10~34,2022,사업체수,개,2069.0,
경상북도,광업 및 제조업,,2022,사업체수,개,5452.0,
경상북도,광업,05~08,2022,사업체수,개,38.0,
경상북도,제조업,10~34,2022,사업체수,개,5414.0,
경상남도,광업 및 제조업,,2022,사업체수,개,7396.0,
경상남도,광업,05~08,2022,사업체수,개,19.0,
경상남도,제조업,10~34,2022,사업체수,개,7377.0,
